CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
MPOSTAC 11 MPOSTA 3 411 407 428 277 21 300 103 1 1 60 30 0 RBS3206M S3C1 5
MPOSTAD 11 MPOSTA 1 411 407 428 287 21 310 103 1 1 60 20 0 RBS3206M S1C2 5
MPOSTAE 11 MPOSTA 2 411 407 428 277 21 300 103 1 1 60 60 0 RBS3206M S2C2 5
MPOSTAF 11 MPOSTA 3 411 407 428 287 21 310 103 1 1 60 30 0 RBS3206M S3C2 5
MRADVA 11 MRADV 1 406 402 428 292 26 320 120 1 1 60 20 0 RBS3206M S1C1 5
MRADVB 11 MRADV 2 406 402 428 302 26 330 120 1 1 60 10 0 RBS3206M S2C1 5
MRADVC 11 MRADV 3 406 402 428 302 26 330 120 1 1 60 10 0 RBS3206M S3C1 5
MRADVD 11 MRADV 1 406 402 428 292 26 320 120 1 1 60 20 0 RBS3206M S1C2 5
MRADVE 11 MRADV 2 406 402 428 302 26 330 120 1 1 60 10 0 RBS3206M S2C2 5
MRADVF 11 MRADV 3 406 402 428 302 26 330 120 1 1 60 10 0 RBS3206M S3C2 5
MRIBNIA 11 MRIBNI 1 414 410 423 285 13 300 53 1 0 60 0 0 RBS3202 S1C1 5
MRIBNIB 11 MRIBNI 2 414 410 423 285 13 300 53 1 0 60 0 0 RBS3202 S2C1 5
MROGOZA 11 MROGOZ 1 401 397 423 272 26 300 149 1 1 60 30 0 RBS3202 S1C1 5
MROGOZB 11 MROGOZ 2 401 397 423 272 26 300 149 1 1 60 20 0 RBS3202 S2C1 5
MROGOZC 11 MROGOZ 3 401 397 423 272 26 300 149 1 1 60 30 0 RBS3202 S3C1 3
MSTUDA 11 MSTUD 1 412 408 428 268 20 290 58 1 1 80 40 0 RBS3206 S1C1 2
MSTUDB 11 MSTUD 2 412 408 428 298 20 320 58 1 1 80 40 0 RBS3206 S2C1 2
MSTUDC 11 MSTUD 3 412 408 428 298 20 320 58 1 1 80 20 0 RBS3206 S3C1 2
MTABORA 11 MTABOR 1 391 387 423 262 36 300 91 1 1 80 20 0 RBS3202 S1C1 2
MTABORB 11 MTABOR 2 391 387 423 272 36 310 91 1 1 80 10 0 RBS3202 S2C1 2
MTABORC 11 MTABOR 3 391 387 423 262 36 300 91 1 1 80 20 0 RBS3202 S3C1 2
MTEZNOA 11 MTEZNO 1 395 391 423 256 32 290 143 1 1 60 20 0 RBS3202 S1C1 3
MTEZNOB 11 MTEZNO 2 396 392 423 267 31 300 143 1 1 60 20 0 RBS3202 S2C1 3
AGAMGDA 31 AGAMGD 1 399 395 423 270 28 300 187 1 1 80 30 0 RBS3202 S1C1 2
AGAMGDB 31 AGAMGD 2 399 395 423 270 28 300 187 1 1 80 30 0 RBS3202 S2C1 2
AGAMGDC 31 AGAMGD 3 399 395 423 270 28 300 187 1 1 80 40 0 RBS3202 S3C1 2
