cell rnc site sec maxpwr(rnc) zaresmoc(rbs) zaresmoc+kabel+asc pilot kabel pilot+kabel rbsid asc ret maxtilt tilt mechanical bazna sect antena pildbpa
AGRICC 21 AGRIC 3 422 418 448 260 28 290 208 1 1 60 60 0 RBS3206 S3C1 3 158
AGRICD 21 AGRIC 1 420 416 446 270 28 300 208 1 1 60 40 0 RBS3206 S1C2 3 146
AGRICE 21 AGRIC 2 420 416 446 270 28 300 208 1 1 80 30 0 RBS3206 S2C2 2 146
AGRICF 21 AGRIC 3 420 416 446 270 28 300 208 1 1 60 60 0 RBS3206 S3C2 3 146
AGURSA 21 AGURS 1 398 394 430 254 34 290 105 1 1 60 60 0 RBS3206M S1C1 5 140
AGURSB 21 AGURS 2 398 394 430 264 34 300 105 1 1 60 40 0 RBS3206M S2C1 5 130
AGURSC 21 AGURS 3 401 397 430 247 31 280 105 1 1 60 60 0 RBS3206M S3C1 5 150
AGURSD 21 AGURS 1 398 394 430 264 34 300 105 1 1 60 60 0 RBS3206M S1C2 5 130
AGURSE 21 AGURS 2 398 394 430 274 34 310 105 1 1 60 40 0 RBS3206M S2C2 5 120
AGURSF 21 AGURS 3 401 397 430 257 31 290 105 1 1 60 60 0 RBS3206M S3C2 5 140
AGZA 21 AGZ 1 412 408 430 268 20 290 16 1 1 80 30 0 RBS3206M S1C1 2 140
AGZB 21 AGZ 2 410 406 430 266 22 290 16 1 1 80 30 0 RBS3206M S2C1 2 140
AGZC 21 AGZ 3 411 407 430 267 21 290 16 1 1 80 40 0 RBS3206M S3C1 2 140
AGZD 21 AGZ 1 412 408 430 278 20 300 16 1 1 80 30 0 RBS3206M S1C2 2 130
AGZE 21 AGZ 2 410 406 430 276 22 300 16 1 1 80 30 0 RBS3206M S2C2 2 130
AGZF 21 AGZ 3 411 407 430 277 21 300 16 1 1 80 40 0 RBS3206M S3C2 2 130
AHALAA 21 AHALA 1 429 425 425 290 0 290 144 0 0 60 0 0 RBS3202 S1C1 5 135
AHLEVA 21 AHLEV 1 406 402 430 262 26 290 250 1 1 60 40 0 RBS3206M S1C1 5 140
AHLEVB 21 AHLEV 2 406 402 430 262 26 290 250 1 1 60 50 0 RBS3206M S2C1 5 140
AHLEVC 21 AHLEV 3 407 402 430 282 26 310 250 1 1 60 40 0 RBS3206M S3C1 5 120
AHLEVD 21 AHLEV 1 406 402 430 272 26 300 250 1 1 60 40 0 RBS3206M S1C2 5 130
AHLEVE 21 AHLEV 2 406 402 430 272 26 300 250 1 1 60 50 0 RBS3206M S2C2 5 130
AHLEVF 21 AHLEV 3 406 402 430 282 26 310 250 1 1 60 40 0 RBS3206M S3C2 5 120
AIJSA 21 AIJS 1 403 401 430 279 29 308 31 0 0 80 0 0 RBS6201V2W S1C1 2 122
AIJSB 21 AIJS 2 408 406 430 284 24 308 31 0 0 80 0 0 RBS6201V2W S2C1 2 122
AIJSC 21 AIJS 3 402 400 430 278 30 308 31 0 0 80 0 0 RBS6201V2W S3C1 2 122
AIJSD 21 AIJS 1 403 401 430 284 29 313 31 0 0 80 0 0 RBS6201V2W S1C2 2 117
AIJSE 21 AIJS 2 408 406 430 289 24 313 31 0 0 80 0 0 RBS6201V2W S2C2 2 117
AIJSF 21 AIJS 3 402 400 430 283 30 313 31 0 0 80 0 0 RBS6201V2W S3C2 2 117
AIMKOA 21 AIMKO 1 407 403 431 272 26 300 60 1 1 60 30 0 RBS3202 S1C1 5 131
AIMKOB 21 AIMKO 2 407 403 431 272 26 300 60 1 1 60 30 0 RBS3202 S2C1 5 131
AIMKOC 21 AIMKO 3 407 403 431 272 26 300 60 1 1 60 10 0 RBS3202 S3C1 5 131
AJELSAA 21 AJELSA 1 408 406 430 274 24 298 40 0 0 60 0 0 RBS6201V2W S1C1 5 132
AJELSAB 21 AJELSA 2 408 406 430 274 24 298 40 0 0 60 0 0 RBS6201V2W S2C1 5 132
AJELSAC 21 AJELSA 3 408 406 430 290 24 314 40 0 0 60 0 0 RBS6201V2W S3C1 5 116
AJELSAD 21 AJELSA 1 408 406 430 284 24 308 40 0 0 60 0 0 RBS6201V2W S1C2 5 122
AJELSAE 21 AJELSA 2 408 406 430 284 24 308 40 0 0 60 0 0 RBS6201V2W S2C2 5 122
AJELSAF 21 AJELSA 3 408 406 430 294 24 318 40 0 0 60 0 0 RBS6201V2W S3C2 5 112
AJEZAA 21 AJEZA 1 412 408 425 283 15 300 167 1 1 60 50 0 RBS3202 S1C1 3 125
AJEZAB 21 AJEZA 2 412 408 425 263 15 280 167 1 1 60 50 0 RBS3202 S2C1 3 145
AJEZKZA 21 AJEZKZ 1 425 421 448 273 25 300 188 1 1 60 20 0 RBS3206 S1C1 5 148
AJEZKZB 21 AJEZKZ 2 425 421 448 273 25 300 188 1 1 60 20 0 RBS3206 S2C1 5 148
AJEZKZC 21 AJEZKZ 3 425 419 446 273 25 300 188 1 1 60 20 0 RBS3206 S3C1 5 146
AJEZKZD 21 AJEZKZ 1 424 419 446 283 25 310 188 1 1 60 20 0 RBS3206 S1C2 5 136
AJEZKZE 21 AJEZKZ 2 424 419 446 283 25 310 188 1 1 60 20 0 RBS3206 S2C2 5 136
AJEZKZF 21 AJEZKZ 3 424 419 446 283 25 310 188 1 1 60 20 0 RBS3206 S3C2 5 136
AJOZEFA 21 AJOZEF 1 403 398 425 253 25 280 239 1 1 80 80 0 RBS3202 S1C1 2 145
AJOZEFB 21 AJOZEF 2 407 402 425 267 21 290 239 1 1 80 80 0 RBS3202 S2C1 2 135
AJOZEFC 21 AJOZEF 3 411 406 433 273 25 300 239 1 1 80 80 0 RBS3202 S3C1 2 133
AJOZEFD 21 AJOZEF 1 402 397 424 263 25 290 239 1 1 80 80 0 RBS3202 S1C2 2 134
AJOZEFE 21 AJOZEF 2 406 401 424 277 21 300 239 1 1 80 80 0 RBS3202 S2C2 2 124
AJOZEFF 21 AJOZEF 3 401 396 423 278 25 305 239 1 1 80 80 0 RBS3202 S3C2 2 118
AKAMNAA 21 AKAMNA 1 389 386 425 271 37 310 131 1 1 60 30 0 RBS3202 S1C1 3 115
AKAMNAB 21 AKAMNA 2 389 386 425 271 37 310 131 1 1 60 10 0 RBS3202 S2C1 3 115
