CELL, rnc, site, sec, maxpwr(rnc), zaresmoc(rbs), zaresmoc+kabel+asc, pilot, kabel, pilot+kabel, rbsid, asc, ret, maxtilt, tilt, mechanical, bazna, sect, antena
CSMARJA 11 CSMARJ 1 398 394 423 269 29 300 313 1 0 60 0 0 RBS3202 S1C1 5
CSMARJB 11 CSMARJ 2 398 394 423 269 29 300 313 1 0 60 0 0 RBS3202 S2C1 5
CSMARJC 11 CSMARJ 3 398 394 423 269 29 300 313 1 0 60 0 0 RBS3202 S3C1 5
CSMARTA 11 CSMART 1 399 395 423 270 28 300 52 1 0 80 0 0 RBS3202 S1C1 2
CSMARTB 11 CSMART 2 399 395 423 270 28 300 52 1 0 80 0 0 RBS3202 S2C1 2
CSOSTA 11 CSOST 1 404 400 428 270 28 300 3 1 1 80 0 0 RBS3206M S1C1 2
CSOSTB 11 CSOST 2 404 400 428 280 28 310 3 1 1 80 0 0 RBS3206M S2C1 2
CSOSTC 11 CSOST 3 404 400 428 280 28 310 3 1 1 80 0 0 RBS3206M S3C1 2
CSOSTD 11 CSOST 1 404 400 428 280 28 310 3 1 1 80 0 0 RBS3206M S1C2 2
CSOSTE 11 CSOST 2 404 400 428 280 28 310 3 1 1 80 0 0 RBS3206M S2C2 2
CSOSTF 11 CSOST 3 404 400 428 280 28 310 3 1 1 80 0 0 RBS3206M S3C2 2
CSTIFTA 11 CSTIFT 1 398 394 423 279 29 310 235 1 0 60 0 0 RBS3202 S1C1 3
CTEHARA 11 CTEHAR 1 414 410 428 290 18 310 113 1 1 60 10 0 RBS3107 S1C1 5
CTEHARB 11 CTEHAR 2 414 410 428 290 18 310 113 1 1 80 30 0 RBS3107 S2C1 2
CTEHARD 11 CTEHAR 1 414 410 428 295 18 315 113 1 1 60 10 0 RBS3107 S1C2 5
CTEHARE 11 CTEHAR 2 414 410 428 295 18 315 113 1 1 80 30 0 RBS3107 S2C2 2
CTOPOLA 11 CTOPOL 1 406 402 429 271 27 300 215 1 1 60 60 0 RBS3202 S1C1 3
CTRNOVA 11 CTRNOV 1 403 399 428 269 29 300 111 1 1 60 10 0 RBS3206 S1C1 5
CTRNOVB 11 CTRNOV 2 403 399 428 269 29 300 111 1 1 60 20 0 RBS3206 S2C1 5
CTRNOVC 11 CTRNOV 3 403 399 428 269 29 300 111 1 1 60 30 0 RBS3206 S3C1 5
CTRNOVD 11 CTRNOV 1 403 399 428 279 29 310 111 1 1 60 10 0 RBS3206 S1C2 5
CTRNOVE 11 CTRNOV 2 403 399 428 279 29 310 111 1 1 60 20 0 RBS3206 S2C2 5
CTRNOVF 11 CTRNOV 3 403 399 428 279 29 310 111 1 1 60 30 0 RBS3206 S3C2 5
CVELCEA 11 CVELCE 1 382 378 423 253 45 300 78 1 1 80 50 0 RBS3202 S1C1 2
CVELCEB 11 CVELCE 2 381 377 423 252 46 300 78 1 1 80 20 0 RBS3202 S2C1 2
CVELEA 11 CVELE 1 400 396 423 261 27 290 2 1 1 80 50 0 RBS3202 S1C1 2
CVELEB 11 CVELE 2 400 396 423 270 27 299 2 1 1 80 10 0 RBS3202 S2C1 2
CVELEC 11 CVELE 3 400 396 423 261 27 290 2 1 1 80 50 0 RBS3202 S3C1 2
CVELEMA 11 CVELEM 1 394 390 423 265 33 300 1004 1 1 80 20 0 RBS3202 S1C1 2
CVELEMB 11 CVELEM 2 393 389 422 265 33 300 1004 1 1 80 0 0 RBS3202 S2C1 2
CVELEMC 11 CVELEM 3 394 390 423 265 33 300 1004 1 1 80 0 0 RBS3202 S3C1 2
CVELGDA 11 CVELGD 1 407 403 423 278 20 300 74 1 1 80 20 0 RBS3202 S1C1 2
CVELGDB 11 CVELGD 2 407 403 423 288 20 310 74 1 1 80 0 0 RBS3202 S2C1 2
CVELGDC 11 CVELGD 3 407 403 423 268 20 290 74 1 1 80 30 0 RBS3202 S3C1 2
CVELSAA 11 CVELSA 1 398 394 423 279 29 310 338 1 0 60 0 0 RBS3202 S1C1 5
CVELSAB 11 CVELSA 2 398 394 423 279 29 310 338 1 0 60 0 0 RBS3202 S2C1 5
CVELTUA 11 CVELTU 1 403 399 423 274 24 300 307 1 1 60 30 0 RBS3202 S1C1 3
CVELTUB 11 CVELTU 2 403 399 423 274 24 300 307 1 1 60 40 0 RBS3202 S2C1 3
CVELTUC 11 CVELTU 3 403 399 423 274 24 300 307 1 1 60 30 0 RBS3202 S3C1 3
CVESPAA 11 CVESPA 1 403 399 400 297 1 300 217 1 0 60 0 0 RBS3412 S1C1 3
CVESPAB 11 CVESPA 2 403 399 400 297 1 300 217 1 0 60 0 0 RBS3412 S2C1 3
CVESPAC 11 CVESPA 3 403 399 400 297 1 300 217 1 0 60 0 0 RBS3412 S3C1 3
CVINCEA 11 CVINCE 1 409 405 429 294 24 320 339 1 0 60 0 0 RBS3202 S1C1 5
CVINCEB 11 CVINCE 2 409 405 429 294 24 320 339 1 0 60 0 0 RBS3202 S2C1 5
CVOJNIA 11 CVOJNI 1 402 398 423 273 25 300 127 1 0 60 0 0 RBS3202 S1C1 5
CVOJNIB 11 CVOJNI 2 402 398 423 273 25 300 127 1 0 60 0 0 RBS3202 S2C1 5
CVOJNIC 11 CVOJNI 3 402 398 423 273 25 300 127 1 0 60 0 0 RBS3202 S3C1 5
CVRANAA 11 CVRANA 1 426 422 444 276 22 300 278 1 0 60 0 0 RBS3206M S1C1 5
CVRANAB 11 CVRANA 2 426 422 444 276 22 300 278 1 0 60 0 0 RBS3206M S2C1 5
CVRANSA 11 CVRANS 1 400 396 423 271 27 300 237 1 0 60 0 0 RBS3202 S1C1 3
CVRANSB 11 CVRANS 2 400 396 423 271 27 300 237 1 0 60 0 0 RBS3202 S2C1 3
CZALECA 11 CZALEC 1 395 391 423 266 32 300 144 1 1 60 50 0 RBS3202 S1C1 3
CZALECB 11 CZALEC 2 394 390 423 265 33 300 144 1 1 60 40 0 RBS3202 S2C1 3
CZALECC 11 CZALEC 3 381 377 423 252 46 300 144 1 1 60 60 0 RBS3202 S3C1 3
CZALEZA 11 CZALEZ 1 410 406 423 281 17 300 124 1 1 60 20 0 RBS3202 S1C1 5
CZALEZB 11 CZALEZ 2 410 406 423 281 17 300 124 1 1 60 30 0 RBS3202 S2C1 5
CZALEZC 11 CZALEZ 3 410 406 423 281 17 300 124 1 1 60 20 0 RBS3202 S3C1 5
CZRECEA 11 CZRECE 1 412 408 439 277 31 310 37 1 0 80 0 0 RBS3202 S1C1 4
CZRECEB 11 CZRECE 2 412 408 439 277 31 310 37 1 0 80 0 0 RBS3202 S2C1 4
CZRECEC 11 CZRECE 3 412 408 439 277 31 310 37 1 0 80 0 0 RBS3202 S3C1 4
GAJDA 11 GAJD 1 410 406 428 286 22 310 167 1 0 60 0 0 RBS3206 S1C1 3
GAJDB 11 GAJD 2 393 389 428 269 39 310 167 1 0 60 0 0 RBS3206 S2C1 3
GAJDC 11 GAJD 3 411 407 428 287 21 310 167 1 0 60 0 0 RBS3206 S3C1 3
GAJDD 11 GAJD 1 410 406 428 286 22 310 167 1 0 60 0 0 RBS3206 S1C2 3
GAJDE 11 GAJD 2 393 389 428 269 39 310 167 1 0 60 0 0 RBS3206 S2C2 3
GAJDF 11 GAJD 3 411 407 428 287 21 310 167 1 0 60 0 0 RBS3206 S3C2 3
GBAZARA 11 GBAZAR 1 400 396 423 281 27 310 220 1 0 60 0 0 RBS3202 S1C1 3
GBAZARB 11 GBAZAR 2 400 396 423 271 27 300 220 1 0 60 0 0 RBS3202 S2C1 3
GBUDANA 11 GBUDAN 1 419 415 444 269 29 300 98 1 0 60 0 0 RBS3107 S1C1 3
GBUDANB 11 GBUDAN 2 419 415 444 269 29 300 98 1 0 60 0 0 RBS3107 S2C1 3
GDOBRAA 11 GDOBRA 1 419 415 444 269 29 300 107 1 0 60 0 0 RBS3206M S1C1 5
GDOBRAB 11 GDOBRA 2 419 415 444 279 29 310 107 1 0 60 0 0 RBS3206M S2C1 5
GDOBRAC 11 GDOBRA 3 419 415 444 269 29 300 107 1 0 60 0 0 RBS3206M S3C1 5
